Old_Location,Authority_ID,Disposition,Crosswalk_Status,Notes
CN1-14,Z_HOME,MESA_DIRECT_PLANNED,PLANNED_MATCH,*DECZ / Z-axis zero-return name match; prove continuity and normal state
CN2-5,MAG_BCD_BIT0,MESA_DIRECT_PLANNED,PLANNED_MATCH,Magazine position 1 planned as BCD bit 0 (block de-shifted 2026-09-02 per sec 7.5); confirm bit order at pot
CN2-6,MAG_BCD_BIT1,MESA_DIRECT_PLANNED,PLANNED_MATCH,Magazine position 2 planned as BCD bit 1; confirm bit order at pot
CN2-7,MAG_BCD_BIT2,MESA_DIRECT_PLANNED,PLANNED_MATCH,Magazine position 4 planned as BCD bit 2; confirm bit order at pot
CN2-8,MAG_BCD_BIT3,MESA_DIRECT_PLANNED,PLANNED_MATCH,Magazine position 8 planned as BCD bit 3; confirm bit order at pot
CN2-9,MAG_BCD_BIT4,MESA_DIRECT_PLANNED,PLANNED_MATCH,Magazine position 10 planned as fifth BCD bit; confirm identity and bit order
CN2-10,MAG_IN_POS,MESA_DIRECT_PLANNED,PLANNED_MATCH,MAGAZINE INPOSITION (MIPRS PRS-13) wire 213; prove continuity and polarity
CN2-15,X_HOME,MESA_DIRECT_PLANNED,PLANNED_MATCH,*DECX / X-axis zero-return name match; prove continuity and normal state
CN2-16,Y_HOME,MESA_DIRECT_PLANNED,PLANNED_MATCH,*DECY / Y-axis zero-return name match; prove continuity and normal state
CN3-37,Y_LIMIT_PLUS,MESA_DIRECT_PLANNED,PLANNED_MATCH,+LY / Y positive overtravel name match; retain hardware overtravel path
CN3-38,Z_LIMIT_MINUS,MESA_DIRECT_PLANNED,PLANNED_MATCH,-LZ / Z negative overtravel name match; retain hardware overtravel path
CN3-14,SPINDLE_ORIENT_CMD,MESA_DIRECT_PLANNED,PLANNED_MATCH,ORC1 name match; CON1-25 -> T.U. CN3-14 -> (internally) CN4-12 per LOCATED 2026-08-08 dwg 4143075408 p134; previously excluded as ambiguous spindle conductor -- promoted 2026-08-18 on the dwg 4143075403 p127 CON1 pinout reconciliation
CN3-15,SPINDLE_ORIENT_LOGEAR,MESA_DIRECT_PLANNED,PLANNED_MATCH,CTL name match; CON1-27 -> T.U. CN3-15 -> (internally) CN4-13 per LOCATED 2026-08-08 dwg 4143075408 p134; previously excluded as ambiguous spindle conductor -- promoted 2026-08-18 on the dwg 4143075403 p127 CON1 pinout reconciliation
CN4-1,SPINDLE_ZERO_SPEED,MESA_DIRECT_PLANNED,PLANNED_MATCH,Spindle zero-speed name match; verify FR-SX contact voltage and polarity
CN4-3,SPINDLE_FAULT,MESA_DIRECT_PLANNED,PLANNED_MATCH,FA/FC name match; CON1-11/-12 -> CN4-3/-4 per RECON 2026-08-08 §D, cross-confirmed against dwg 4143075403 p127; previously excluded as ambiguous spindle conductor -- promoted 2026-08-18; verify FR-SX fault contact polarity
CN4-9,SPINDLE_FWD,MESA_DIRECT_PLANNED,PLANNED_MATCH,SRN name match; CON1-45 -> CN4-9 per RECON 2026-08-08 §D, cross-confirmed against dwg 4143075403 p127; previously excluded as ambiguous spindle conductor -- promoted 2026-08-18; verify drive-enable interlock before landing
CN4-10,SPINDLE_REV,MESA_DIRECT_PLANNED,PLANNED_MATCH,SRI name match; CON1-46 -> CN4-10 per RECON 2026-08-08 §D, cross-confirmed against dwg 4143075403 p127; previously excluded as ambiguous spindle conductor -- promoted 2026-08-18; verify drive-enable interlock before landing
CN4-16,SPINDLE_ORIENT_ARRIVAL,MESA_DIRECT_PLANNED,PLANNED_MATCH,ORA1/ORA2 (SETA/SETB were misreads - sec 7.5); CON1-22/-23 -> CN4-16/-17 per RECON 2026-08-08 §D, cross-confirmed against dwg 4143075403 p127; previously excluded as ambiguous spindle conductor -- promoted 2026-08-18
CN6-7,SERVO_READY,MESA_DIRECT_PLANNED,PLANNED_MATCH,Servo-ready name match; confirm this is the retained combined ready contact
